symptoms,treatment
"chronic fever, weakness, loss of appetite, dry cough",Jwara (Fever) - Treat with Guduchi and antipyretic herbs like Parpataka.
"indigestion, bloating, acid reflux, burning sensation","Amlapitta - Administer cooling herbs like Shatavari, Amalaki, and avoid spicy foods."
"joint pain, swelling, morning stiffness","Amavata (Rheumatoid Arthritis) - Fasting (Langhana), dry fomentation, and Castor oil."
"severe cough with phlegm, breathlessness, wheezing","Kasa/Shwasa - Kanakasava, Vasavaleha, and avoid cold exposures."
"frequent urination, extreme thirst, sweet taste in mouth","Prameha (Diabetes) - Administer Nisha Amalaki, Shilajit, and strict diet control."
"deep cut, bleeding, fresh wound","Sadyo Vrana - Clean wound with Kashaya (decoction) of Nimba, apply Jatyadi Taila for healing."
"pus formation, swelling, throbbing pain in localized area","Vidradhi (Abscess) - Needs Chedana (incision) and Bhedana (drainage), followed by wound cleansing."
"calculus in urinary tract, severe pain radiating to groin","Ashmari - Lithotriptic herbs like Pashanabheda, Gokshura, and if severe, surgical removal (Shalya Chikitsa)."
"fractured bone, swelling, inability to move the limb","Bhagna (Fracture) - Reduction (Kushabandha) and splinting, internal use of Laksha and Arjuna."
"piles, bleeding during defecation, painful mass",Arsha (Hemorrhoids) - Kshara Karma (alkali application) or Agnikarma (thermal cauterization).
"chronic fever, weakness, loss of appetite, dry cough",Jwara (Fever) - Treat with Guduchi and antipyretic herbs like Parpataka.
"indigestion, bloating, acid reflux, burning sensation","Amlapitta - Administer cooling herbs like Shatavari, Amalaki, and avoid spicy foods."
"joint pain, swelling, morning stiffness","Amavata (Rheumatoid Arthritis) - Fasting (Langhana), dry fomentation, and Castor oil."
"severe cough with phlegm, breathlessness, wheezing","Kasa/Shwasa - Kanakasava, Vasavaleha, and avoid cold exposures."
"frequent urination, extreme thirst, sweet taste in mouth","Prameha (Diabetes) - Administer Nisha Amalaki, Shilajit, and strict diet control."
"deep cut, bleeding, fresh wound","Sadyo Vrana - Clean wound with Kashaya (decoction) of Nimba, apply Jatyadi Taila for healing."
"pus formation, swelling, throbbing pain in localized area","Vidradhi (Abscess) - Needs Chedana (incision) and Bhedana (drainage), followed by wound cleansing."
"calculus in urinary tract, severe pain radiating to groin","Ashmari - Lithotriptic herbs like Pashanabheda, Gokshura, and if severe, surgical removal (Shalya Chikitsa)."
"fractured bone, swelling, inability to move the limb","Bhagna (Fracture) - Reduction (Kushabandha) and splinting, internal use of Laksha and Arjuna."
"piles, bleeding during defecation, painful mass",Arsha (Hemorrhoids) - Kshara Karma (alkali application) or Agnikarma (thermal cauterization).
"chronic fever, weakness, loss of appetite, dry cough",Jwara (Fever) - Treat with Guduchi and antipyretic herbs like Parpataka.
